Prix;Flashitude;Branchitude;Qualite;Achat
9,99;50;20;60;non
4,99;50;20;60;non
9,99;10;50;50;non
9,99;25;50;50;oui
5,99;70;50;20;oui
9,99;10;50;50;non
9,99;25;50;50;non
9,99;70;50;20;non
9,99;50;60;90;oui
5,99;50;60;90;oui
9,99;25;70;40;oui
9,99;30;70;90;non
9,99;25;70;40;non
9,99;30;70;90;oui
9,99;50;80;50;non
9,99;50;80;50;non
19,99;25;20;40;non
19,99;25;20;40;oui
17,99;45;40;70;non
19,99;50;40;60;non
19,99;45;40;70;non
15,99;50;40;60;non
19,99;10;50;50;non
19,99;75;50;40;oui
19,99;10;50;50;non
19,99;75;50;40;oui
16,99;0;60;20;non
19,99;0;60;20;non
19,99;60;80;70;oui
19,99;60;80;70;non
24,99;10;70;80;non
24,99;10;70;80;non
24,99;60;90;70;oui
24,99;60;90;70;oui
29,99;50;10;50;non
29,99;50;10;50;oui
29,99;10;25;40;non
29,99;50;25;80;non
24,99;10;25;40;oui
29,99;50;25;80;non
29,99;10;30;50;non
29,99;10;30;50;non
29,99;25;40;60;non
29,99;25;40;60;non
29,99;25;70;80;oui
29,99;25;70;80;oui
29,99;25;80;20;non
24,75;25;80;20;oui
29,99;45;90;60;oui
29,99;45;90;60;oui
39,99;30;90;60;oui
39,99;30;90;60;oui
59,99;45;20;70;non
59,99;45;20;70;oui
59,99;45;30;20;oui
59,99;45;30;20;oui
59,99;10;40;50;oui
59,99;10;40;50;oui
59,99;75;60;50;oui
59,99;75;60;50;oui
59,99;70;90;50;oui
59,99;70;90;50;oui
69,99;50;30;90;non
62,99;50;30;90;oui
69,99;10;50;80;non
65,99;50;50;80;oui
65,99;10;50;80;non
69,99;50;50;80;oui
69,99;50;70;40;non
69,99;50;70;40;non
69,99;25;80;40;non
69,99;25;80;40;non
63,79;50;90;80;non
69,99;50;90;40;oui
75,99;50;90;80;oui
69,99;50;90;40;oui
92,99;75;80;60;oui
99,99;75;80;60;oui
